n,a_n,b_n,ratio_n2,ratio_n2logn,ratio_n2p5
285,592,307,0.00728840,0.00128941,0.00043173
286,307,21,0.00375324,0.00066359,0.00022193
287,561833,561546,6.82092778,1.20522117,0.40262664
288,333,45,0.00401476,0.00070895,0.00023657
289,47635,47346,0.57033560,0.10065172,0.03354915
290,572003,571713,6.80146254,1.19957767,0.39939563
291,582172,581881,6.87488339,1.21179123,0.40301280
292,625,333,0.00733017,0.00129126,0.00042897
293,595242,594949,6.93359270,1.22066585,0.40506481
294,307,13,0.00355176,0.00062492,0.00020714
295,974,679,0.01119219,0.00196804,0.00065163
296,597817,597521,6.82314874,1.19907166,0.39658746
297,606740,606443,6.87843644,1.20807166,0.39912736
298,641667,641369,7.22565425,1.26830537,0.41857091
299,307,8,0.00343397,0.00060240,0.00019859
300,444,144,0.00493333,0.00086492,0.00028483
301,717,416,0.00791382,0.00138666,0.00045614
302,333,31,0.00365116,0.00063938,0.00021010
303,307,4,0.00334390,0.00058524,0.00019210
304,648566,648262,7.01789733,1.22754300,0.40250402
305,307,2,0.00330019,0.00057692,0.00018897
306,307,1,0.00327865,0.00057283,0.00018743
307,2469,2162,0.02619656,0.00457434,0.00149512
308,667589,667281,7.03732712,1.22813343,0.40098893
309,681202,680893,7.13442465,1.24437467,0.40586324
310,935,625,0.00972945,0.00169604,0.00055260
311,682410,682099,7.05544814,1.22921650,0.40007776
312,333,21,0.00342086,0.00059566,0.00019367
313,710716,710403,7.25449887,1.26248562,0.41004852
314,715352,715038,7.25538561,1.26193941,0.40944510
315,1450,1135,0.01461325,0.00254030,0.00082336
316,719377,719061,7.20414397,1.25164465,0.40526476
317,1492,1175,0.01484740,0.00257816,0.00083391
318,625,307,0.00618053,0.00107263,0.00034659
319,416,97,0.00408801,0.00070908,0.00022888
320,333,13,0.00325195,0.00056376,0.00018179
321,740509,740188,7.18654710,1.24519110,0.40111394
322,1772,1450,0.01709039,0.00295960,0.00095241
323,775184,774861,7.43018720,1.28602186,0.41342667
324,785970,785646,7.48713992,1.29518632,0.41595222
325,333,8,0.00315266,0.00054508,0.00017488
326,803054,802728,7.55630622,1.30576123,0.41850509
327,807754,807427,7.55411535,1.30469211,0.41774353
328,821405,821077,7.63501078,1.31796873,0.42157295
329,333,4,0.00307647,0.00053079,0.00016961
330,829497,829167,7.61705234,1.31349037,0.41930493
331,333,2,0.00303940,0.00052384,0.00016706
332,333,1,0.00302112,0.00052042,0.00016581
333,833472,833139,7.51627303,1.29409240,0.41188922
334,858359,858025,7.69442253,1.32408120,0.42102007
335,416,81,0.00370684,0.00063756,0.00020253
336,10156,9820,0.08995890,0.01546453,0.00490766
337,10247,9910,0.09022709,0.01550271,0.00491498
338,871478,871140,7.62821680,1.31000458,0.41492029
339,3301,2962,0.02872408,0.00493033,0.00156008
340,893874,893534,7.73247405,1.32656480,0.41935228
341,909131,908790,7.81839681,1.34063004,0.42338993
342,2114,1772,0.01807394,0.00309760,0.00097733
343,935,592,0.00794737,0.00136138,0.00042912
344,922507,922163,7.79565813,1.33472632,0.42031372
345,945911,945566,7.94716236,1.35999007,0.42786084
346,679,333,0.00567176,0.00097012,0.00030492
347,444,97,0.00368743,0.00063040,0.00019795
348,965711,965363,7.97422876,1.36260302,0.42746353
349,974,625,0.00799665,0.00136576,0.00042805
350,416,66,0.00339592,0.00057971,0.00018152
351,967725,967374,7.85484696,1.34023775,0.41926071
352,1003143,1002791,8.09613088,1.38073672,0.43152523
353,1024730,1024377,8.22356331,1.40179120,0.43769611
354,1044403,1044049,8.33415526,1.41995803,0.44295535
355,2469,2114,0.01959135,0.00333633,0.00103980
356,2518,2162,0.01986807,0.00338184,0.00105301
357,1492,1135,0.01170664,0.00199169,0.00061958
358,1053518,1053160,8.22007740,1.39784564,0.43444459
359,1060097,1059738,8.22539397,1.39808656,0.43411969
360,3718,3358,0.02868827,0.00487390,0.00151200
